iter	Logloss
0	0.6734567115
1	0.6556009129
2	0.638988702
3	0.6235638864
4	0.6092046175
5	0.5960830507
6	0.5840567562
7	0.5729550062
8	0.5629443287
9	0.5537645976
10	0.5451551092
11	0.5371076965
12	0.5293991489
13	0.5221844264
14	0.5159905279
15	0.5101222011
16	0.5045754351
17	0.4996756308
18	0.4954155659
19	0.4910265496
20	0.4866374352
21	0.4827729943
22	0.479300083
23	0.4758587392
24	0.4729593113
25	0.4702691323
26	0.4674516006
27	0.4650730133
28	0.4627383459
29	0.4606787037
30	0.4585483297
31	0.4566826085
32	0.4550417909
33	0.4533122689
34	0.4517270152
35	0.4502214341
36	0.4490017519
37	0.4476334054
38	0.446364935
39	0.4452340844
40	0.4442329806
41	0.4431421407
42	0.4422255416
43	0.4413923645
44	0.4406935774
45	0.4398601859
46	0.4390874409
47	0.4384636797
48	0.4376614271
49	0.4369934373
50	0.4363773128
51	0.4357867359
52	0.4353728412
53	0.4346966662
54	0.4342237636
55	0.4338364774
56	0.4333470372
57	0.4328379713
58	0.4324291048
59	0.4319380079
60	0.4315281823
61	0.4311047036
62	0.4307329814
63	0.4303326452
64	0.4299202619
65	0.4295766812
66	0.4292548116
67	0.4289875285
68	0.4286735789
69	0.4284305028
70	0.42824149
71	0.4280081576
72	0.4277166566
73	0.4274950845
74	0.4271067156
75	0.4268284098
76	0.4265885126
77	0.4263699522
78	0.4261482856
79	0.4260224842
80	0.4257146418
81	0.4254777236
82	0.4252231198
83	0.4249214972
84	0.4247287714
85	0.4245242273
86	0.4243146406
87	0.4241516767
88	0.4239066496
89	0.4236265964
90	0.423521852
91	0.4233723813
92	0.4231181045
93	0.422882447
94	0.4226988693
95	0.4224796114
96	0.4223443749
97	0.4221499924
98	0.4220323762
99	0.4219040462
100	0.4217226737
101	0.4215843564
102	0.4214624278
103	0.4213585009
104	0.4212184216
105	0.4210622915
106	0.420957093
107	0.4207628886
108	0.4205626315
109	0.4204341925
110	0.4202844311
111	0.4200981249
112	0.4199419112
113	0.4197935776
114	0.4196130734
115	0.4194195847
116	0.4193240574
117	0.4191395787
118	0.4189926692
119	0.4188003758
120	0.4187103417
121	0.4185336885
122	0.418409947
123	0.4182865215
124	0.4181597719
125	0.4180620611
126	0.4179536256
127	0.4178328596
128	0.4176711782
129	0.4175556292
130	0.4174228014
131	0.4173127856
132	0.4171032606
133	0.4169550977
134	0.4168976738
135	0.4168022228
136	0.416657337
137	0.4165066165
138	0.4163571312
139	0.4162366849
140	0.4160729726
141	0.4159691983
142	0.4157600258
143	0.4156330363
144	0.4155016581
145	0.4153254591
146	0.4151765878
147	0.4150434367
148	0.4149399058
149	0.414797901
150	0.414689738
151	0.4145763797
152	0.4144415828
153	0.4143057614
154	0.4142148118
155	0.4140419733
156	0.4138424319
157	0.4137074171
158	0.4135971178
159	0.4134735834
160	0.413421511
161	0.4132597206
162	0.4131104206
163	0.4129604848
164	0.4127792467
165	0.4126803843
166	0.4125972639
167	0.4124340203
168	0.4123617445
169	0.4122344607
